,text,label,text_token,text_string,text_string_fdist,text_string_lem
470,i have had tmobile service for 2 or 3 years now and i am pretty happy with it,1,"['tmobile', 'service', '2', '3', 'years', 'pretty', 'happy']",tmobile service years pretty happy,tmobile service years pretty happy,tmobile service years pretty happy
471,the update procedure is difficult and cumbersome,0,"['update', 'procedure', 'difficult', 'cumbersome']",update procedure difficult cumbersome,update procedure difficult cumbersome,update procedure difficult cumbersome
472,disappointment i hate anything that goes in my ear,0,"['disappointment', 'hate', 'anything', 'goes', 'ear']",disappointment hate anything goes ear,disappointment hate anything goes ear,disappointment hate anything goes ear
473,great software for motorolas,1,"['great', 'software', 'motorolas']",great software motorolas,great software motorolas,great software motorolas
474,the delivery was on time,1,"['delivery', 'time']",delivery time,delivery time,delivery time
475,very easy to use,1,"['easy', 'use']",easy use,easy use,easy use
476,uncomfortable in the ear don't use with lg vx9900 (env),0,"['uncomfortable', 'ear', 'use', 'lg', 'vx9900', 'env']",uncomfortable ear use vx9900 env,uncomfortable ear use vx9900 env,uncomfortable ear use vx9900 env
477,the volume switch rocketed out of the unit to a destination unknown,0,"['volume', 'switch', 'rocketed', 'unit', 'destination', 'unknown']",volume switch rocketed unit destination unknown,volume switch rocketed unit destination unknown,volume switch rocketed unit destination unknown
478,it holds a charge for a long time is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous,1,"['holds', 'charge', 'long', 'time', 'reasonably', 'comfortable', 'long', 'wearing', 'conditions', 'quality', 'sound', 'tremendous']",holds charge long time reasonably comfortable long wearing conditions quality sound tremendous,holds charge long time reasonably comfortable long wearing conditions quality sound tremendous,holds charge long time reasonably comfortable long wearing conditions quality sound tremendous
479,i'd like to return it,0,"['like', 'return']",like return,like return,like return
480,the keyboard is really worthwhile in usefulness and is sturdy enough i don't expect any problems,1,"['keyboard', 'really', 'worthwhile', 'usefulness', 'sturdy', 'enough', 'expect', 'problems']",keyboard really worthwhile usefulness sturdy enough expect problems,keyboard really worthwhile usefulness sturdy enough expect problems,keyboard really worthwhile usefulness sturdy enough expect problems
481,verizon's bills however are difficult to understand even though their pricing plans are simple,0,"['verizon', 'bills', 'however', 'difficult', 'understand', 'even', 'though', 'pricing', 'plans', 'simple']",verizon bills however difficult understand even though pricing plans simple,verizon bills however difficult understand even though pricing plans simple,verizon bills however difficult understand even though pricing plans simple
482,after charging overnight these batteries work great,1,"['charging', 'overnight', 'batteries', 'work', 'great']",charging overnight batteries work great,charging overnight batteries work great,charging overnight batteries work great
483,you won't regret it,1,['regret'],regret,regret,regret
484,i love this phone,1,"['love', 'phone']",love phone,love phone,love phone
485,a disappointment,0,['disappointment'],disappointment,disappointment,disappointment
486,its not user friendly,0,"['user', 'friendly']",user friendly,user friendly,user friendly
487,unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect,0,"['unfortunately', 'ability', 'actually', 'know', 'receiving', 'call', 'rather', 'important', 'feature', 'phone', 'pitiful', 'respect']",unfortunately ability actually know receiving call rather important feature phone pitiful respect,unfortunately ability actually know receiving call rather important feature phone pitiful respect,unfortunately ability actually know receiving call rather important feature phone pitiful respect
488,then i exchanged for the same phone even that had the same problem,0,"['exchanged', 'phone', 'even', 'problem']",exchanged phone even problem,exchanged phone even problem,exchanged phone even problem
489,this results in the phone being either stuck at max volume or mute,0,"['results', 'phone', 'either', 'stuck', 'max', 'volume', 'mute']",results phone either stuck max volume mute,results phone either stuck max volume mute,results phone either stuck max volume mute
490,this pda rocks,1,"['pda', 'rocks']",pda rocks,pda rocks,pda rocks
491,it is super charged up for use as a small hybrid palmtop/camera/cellphone and excels in those roles,1,"['super', 'charged', 'use', 'small', 'hybrid', 'palmtop', 'camera', 'cellphone', 'excels', 'roles']",super charged use small hybrid palmtop camera cellphone excels roles,super charged use small hybrid palmtop camera cellphone excels roles,super charged use small hybrid palmtop camera cellphone excels roles
492,i would definitely recommend the jabra bt250v for those who are looking for comfort clarity and a great price,1,"['would', 'definitely', 'recommend', 'jabra', 'bt250v', 'looking', 'comfort', 'clarity', 'great', 'price']",would definitely recommend jabra bt250v looking comfort clarity great price,would definitely recommend jabra bt250v looking comfort clarity great price,would definitely recommend jabra bt250v looking comfort clarity great price
493,i had verizon 2 years ago and really liked their service,1,"['verizon', '2', 'years', 'ago', 'really', 'liked', 'service']",verizon years ago really liked service,verizon years ago really liked service,verizon years ago really liked service
494,pretty piece of junk,0,"['pretty', 'piece', 'junk']",pretty piece junk,pretty piece junk,pretty piece junk
495,plug was the wrong size,0,"['plug', 'wrong', 'size']",plug wrong size,plug wrong size,plug wrong size
496,works as described,1,"['works', 'described']",works described,works described,works described
497,save your money i've had this item for 11 months now,0,"['save', 'money', 'item', '11', 'months']",save money item months,save money item months,save money item months
498,bad purchase,0,"['bad', 'purchase']",bad purchase,bad purchase,bad purchase
499,well im satisfied,1,"['well', 'im', 'satisfied']",well satisfied,well satisfied,well satisfied
500,the bose noise cancelling is amazing which is very important for a nyc commuter,1,"['bose', 'noise', 'cancelling', 'amazing', 'important', 'nyc', 'commuter']",bose noise cancelling amazing important nyc commuter,bose noise cancelling amazing important nyc commuter,bose noise cancelling amazing important nyc commuter
501,this battery is an excellent bargain,1,"['battery', 'excellent', 'bargain']",battery excellent bargain,battery excellent bargain,battery excellent bargain
502,defective crap,0,"['defective', 'crap']",defective crap,defective crap,defective crap
503,i would have given no star if i was able,0,"['would', 'given', 'star', 'able']",would given star able,would given star able,would given star able
504,i wear glasses and it fits fine with them,1,"['wear', 'glasses', 'fits', 'fine']",wear glasses fits fine,wear glasses fits fine,wear glasses fits fine
505,the sound quality for the device is unacceptableunless you are in a really quiet area you almost hear nothing,0,"['sound', 'quality', 'device', 'unacceptableunless', 'really', 'quiet', 'area', 'almost', 'hear', 'nothing']",sound quality device unacceptableunless really quiet area almost hear nothing,sound quality device unacceptableunless really quiet area almost hear nothing,sound quality device unacceptableunless really quiet area almost hear nothing
506,i would not recommend this item to anyone,0,"['would', 'recommend', 'item', 'anyone']",would recommend item anyone,would recommend item anyone,would recommend item anyone
507,the holster that arrived did not match the photo in the ad,0,"['holster', 'arrived', 'match', 'photo', 'ad']",holster arrived match photo,holster arrived match photo,holster arrived match photo
508,greatno problems at all,1,"['greatno', 'problems']",greatno problems,greatno problems,greatno problems
509,as an earlier review noted plug in this charger and nothing happens,0,"['earlier', 'review', 'noted', 'plug', 'charger', 'nothing', 'happens']",earlier review noted plug charger nothing happens,earlier review noted plug charger nothing happens,earlier review noted plug charger nothing happens
510,this frog phone charm is adorable and very eye catching,1,"['frog', 'phone', 'charm', 'adorable', 'eye', 'catching']",frog phone charm adorable eye catching,frog phone charm adorable eye catching,frog phone charm adorable eye catching
511,you never know if you pushed it hard enough or the right number of times for the function you want or not,0,"['never', 'know', 'pushed', 'hard', 'enough', 'right', 'number', 'times', 'function', 'want']",never know pushed hard enough right number times function want,never know pushed hard enough right number times function want,never know pushed hard enough right number times function want
512,the sound is clear and the people i talk to on it are amazed at the quality too,1,"['sound', 'clear', 'people', 'talk', 'amazed', 'quality']",sound clear people talk amazed quality,sound clear people talk amazed quality,sound clear people talk amazed quality
513,i got the aluminum case for my new palm vx and it worked really well--it has protected my handheld perfectly so far,1,"['got', 'aluminum', 'case', 'new', 'palm', 'vx', 'worked', 'really', 'well', 'protected', 'handheld', 'perfectly', 'far']",got aluminum case new palm worked really well protected handheld perfectly far,got aluminum case new palm worked really well protected handheld perfectly far,got aluminum case new palm worked really well protected handheld perfectly far
514,very good product well made,1,"['good', 'product', 'well', 'made']",good product well made,good product well made,good product well made
515,mobile phone tools are a must have,1,"['mobile', 'phone', 'tools', 'must']",mobile phone tools must,mobile phone tools must,mobile phone tools must
516,i am very impressed with the job that motorola did on the sturdiness of this phone,1,"['impressed', 'job', 'motorola', 'sturdiness', 'phone']",impressed job motorola sturdiness phone,impressed job motorola sturdiness phone,impressed job motorola sturdiness phone
517,i received my orders well within the shipping timeframe everything was in good working order and overall i am very excited to have this source,1,"['received', 'orders', 'well', 'within', 'shipping', 'timeframe', 'everything', 'good', 'working', 'order', 'overall', 'excited', 'source']",received orders well within shipping timeframe everything good working order overall excited source,received orders well within shipping timeframe everything good working order overall excited source,received orders well within shipping timeframe everything good working order overall excited source
518,the phone is sturdy and waterproof,1,"['phone', 'sturdy', 'waterproof']",phone sturdy waterproof,phone sturdy waterproof,phone sturdy waterproof
519,i am not impressed with this and i would not recommend this item to anyone,0,"['impressed', 'would', 'recommend', 'item', 'anyone']",impressed would recommend item anyone,impressed would recommend item anyone,impressed would recommend item anyone
520,my only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0,"['complaint', 'standard', 'sound', 'volume', 'little', 'low', 'even', 'turned', '5', '5']",complaint standard sound volume little low even turned,complaint standard sound volume little low even turned,complaint standard sound volume little low even turned
521,thanks again to amazon for having the things i need for a good price,1,"['thanks', 'amazon', 'things', 'need', 'good', 'price']",thanks amazon things need good price,thanks amazon things need good price,thanks amazon things need good price
522,i ended up sliding it on the edge of my pants or back pockets instead,1,"['ended', 'sliding', 'edge', 'pants', 'back', 'pockets', 'instead']",ended sliding edge pants back pockets instead,ended sliding edge pants back pockets instead,ended sliding edge pants back pockets instead
523,i had to go to a store and bought a new nokia phone which is working great,1,"['go', 'store', 'bought', 'new', 'nokia', 'phone', 'working', 'great']",store bought new nokia phone working great,store bought new nokia phone working great,store bought new nokia phone working great
524,works great,1,"['works', 'great']",works great,works great,works great
525,really ugly,0,"['really', 'ugly']",really ugly,really ugly,really ugly
526,horrible had to switch 3 times,0,"['horrible', 'switch', '3', 'times']",horrible switch times,horrible switch times,horrible switch times
527,the noise shield is incrediable,1,"['noise', 'shield', 'incrediable']",noise shield incrediable,noise shield incrediable,noise shield incrediable
528,no real improvement,0,"['real', 'improvement']",real improvement,real improvement,real improvement
529,razr battery - good buy,1,"['razr', 'battery', 'good', 'buy']",razr battery good buy,razr battery good buy,razr battery good buy
530,keep up the good work amazon,1,"['keep', 'good', 'work', 'amazon']",keep good work amazon,keep good work amazon,keep good work amazon
531,they refuse to refund or replace,0,"['refuse', 'refund', 'replace']",refuse refund replace,refuse refund replace,refuse refund replace
532,unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening,0,"['unfortunately', 'easy', 'accidentally', 'activate', 'gentle', 'touch', 'buttons', 'accidentally', 'touch', 'phone', 'face', 'listening']",unfortunately easy accidentally activate gentle touch buttons accidentally touch phone face listening,unfortunately easy accidentally activate gentle touch buttons accidentally touch phone face listening,unfortunately easy accidentally activate gentle touch buttons accidentally touch phone face listening
533,so i basically threw my money out the window for nothing,0,"['basically', 'threw', 'money', 'window', 'nothing']",basically threw money window nothing,basically threw money window nothing,basically threw money window nothing
534,great case and price,1,"['great', 'case', 'price']",great case price,great case price,great case price
535,all it took was one drop from about 6 inches above the kitchen counter and it was crackedi am not impressed and i am not laughing,0,"['took', 'one', 'drop', '6', 'inches', 'kitchen', 'counter', 'crackedi', 'impressed', 'laughing']",took one drop inches kitchen counter crackedi impressed laughing,took one drop inches kitchen counter crackedi impressed laughing,took one drop inches kitchen counter crackedi impressed laughing
536,bluetooth range is good - a few days ago i left my phone in the trunk got a call and carried the conversation without a hitch,1,"['bluetooth', 'range', 'good', 'days', 'ago', 'left', 'phone', 'trunk', 'got', 'call', 'carried', 'conversation', 'without', 'hitch']",bluetooth range good days ago left phone trunk got call carried conversation without hitch,bluetooth range good days ago left phone trunk got call carried conversation without hitch,bluetooth range good days ago left phone trunk got call carried conversation without hitch
537,small sleek impressive looking practical setup with ample storage in place,1,"['small', 'sleek', 'impressive', 'looking', 'practical', 'setup', 'ample', 'storage', 'place']",small sleek impressive looking practical setup ample storage place,small sleek impressive looking practical setup ample storage place,small sleek impressive looking practical setup ample storage place
538,the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity,1,"['eargels', 'channel', 'sound', 'directly', 'ear', 'seem', 'increase', 'sound', 'volume', 'clarity']",eargels channel sound directly ear seem increase sound volume clarity,eargels channel sound directly ear seem increase sound volume clarity,eargels channel sound directly ear seem increase sound volume clarity
539,none of the new ones have ever quite worked properly,0,"['none', 'new', 'ones', 'ever', 'quite', 'worked', 'properly']",none new ones ever quite worked properly,none new ones ever quite worked properly,none new ones ever quite worked properly
540,i am glad i purchased it,1,"['glad', 'purchased']",glad purchased,glad purchased,glad purchased
541,i've missed numerous calls because of this reason,0,"['missed', 'numerous', 'calls', 'reason']",missed numerous calls reason,missed numerous calls reason,missed numerous calls reason
542,perhaps my phone is defective but people cannot hear me when i use this,0,"['perhaps', 'phone', 'defective', 'people', 'cannot', 'hear', 'use']",perhaps phone defective people cannot hear use,perhaps phone defective people hear use,perhaps phone defective people hear use
543,don't buy this product,0,"['buy', 'product']",buy product,buy product,buy product
544,sucked most of the stuff does not work with my phone,0,"['sucked', 'stuff', 'work', 'phone']",sucked stuff work phone,sucked stuff work phone,sucked stuff work phone
545,no shifting no bubbling no peeling not even a scratch nothingi couldn't be more happier with my new one for the droid,1,"['shifting', 'bubbling', 'peeling', 'even', 'scratch', 'nothingi', 'happier', 'new', 'one', 'droid']",shifting bubbling peeling even scratch nothingi happier new one droid,shifting bubbling peeling even scratch nothingi happier new one droid,shifting bubbling peeling even scratch nothingi happier new one droid
546,worst software ever used if i could give this zero stars i would,0,"['worst', 'software', 'ever', 'used', 'could', 'give', 'zero', 'stars', 'would']",worst software ever used could give zero stars would,worst software ever used could give zero stars would,worst software ever used could give zero stars would
547,trying to make a call on these is an exercise in frustration,0,"['trying', 'make', 'call', 'exercise', 'frustration']",trying make call exercise frustration,trying make call exercise frustration,trying make call exercise frustration
548,the case is a flimsy piece of plastic and has no front or side protection whatsoever,0,"['case', 'flimsy', 'piece', 'plastic', 'front', 'side', 'protection', 'whatsoever']",case flimsy piece plastic front side protection whatsoever,case flimsy piece plastic front side protection whatsoever,case flimsy piece plastic front side protection whatsoever
549,i own a jabra earset and was very happy with it but the sound quality especially outgoing on this is better,1,"['jabra', 'earset', 'happy', 'sound', 'quality', 'especially', 'outgoing', 'better']",jabra earset happy sound quality especially outgoing better,jabra earset happy sound quality especially outgoing better,jabra earset happy sound quality especially outgoing better
550,i love the camera it's really pretty good quality,1,"['love', 'camera', 'really', 'pretty', 'good', 'quality']",love camera really pretty good quality,love camera really pretty good quality,love camera really pretty good quality
551,thank you for such great service,1,"['thank', 'great', 'service']",thank great service,thank great service,thank great service
552,its a total package,1,"['total', 'package']",total package,total package,total package
553,the seller is very understanding and patient i would definitely buy from them again,1,"['seller', 'understanding', 'patient', 'would', 'definitely', 'buy']",seller understanding patient would definitely buy,seller understanding patient would definitely buy,seller understanding patient would definitely buy
554,i give wirefly 1 stari will contact cingular/at&t and inform them of this practice,0,"['give', 'wirefly', '1', 'stari', 'contact', 'cingular', 'inform', 'practice']",give wirefly stari contact cingular inform practice,give wirefly stari contact cingular inform practice,give wirefly stari contact cingular inform practice
555,it's aggravating,0,['aggravating'],aggravating,aggravating,aggravating
556,great product for the price,1,"['great', 'product', 'price']",great product price,great product price,great product price
557,i have purchased these for both family and friends and all enjoy their clarity and ease of use,1,"['purchased', 'family', 'friends', 'enjoy', 'clarity', 'ease', 'use']",purchased family friends enjoy clarity ease use,purchased family friends enjoy clarity ease use,purchased family friends enjoy clarity ease use
558,virgin wireless rocks and so does this cheap little phone,1,"['virgin', 'wireless', 'rocks', 'cheap', 'little', 'phone']",virgin wireless rocks cheap little phone,virgin wireless rocks cheap little phone,virgin wireless rocks cheap little phone
559,none of it works just don't buy it,0,"['none', 'works', 'buy']",none works buy,none works buy,none works buy
560,muddy low quality sound and the casing around the wire's insert was poorly super glued and slid off,0,"['muddy', 'low', 'quality', 'sound', 'casing', 'around', 'wire', 'insert', 'poorly', 'super', 'glued', 'slid']",muddy low quality sound casing around wire insert poorly super glued slid,muddy low quality sound casing around wire insert poorly super glued slid,muddy low quality sound casing around wire insert poorly super glued slid
561,please dont waste your money,0,"['please', 'dont', 'waste', 'money']",please dont waste money,please dont waste money,please dont waste money
562,all in all i'm quite satisfied with this purchase,1,"['quite', 'satisfied', 'purchase']",quite satisfied purchase,quite satisfied purchase,quite satisfied purchase
563,if you are looking for a good quality motorola headset keep looking this isn't it,0,"['looking', 'good', 'quality', 'motorola', 'headset', 'keep', 'looking']",looking good quality motorola headset keep looking,looking good quality motorola headset keep looking,looking good quality motorola headset keep looking
564,yet plantronincs continues to use the same flawed charger design,0,"['yet', 'plantronincs', 'continues', 'use', 'flawed', 'charger', 'design']",yet plantronincs continues use flawed charger design,yet plantronincs continues use flawed charger design,yet plantronincs continues use flawed charger design
565,disapointing results,0,"['disapointing', 'results']",disapointing results,disapointing results,disapointing results
566,cumbersome design,0,"['cumbersome', 'design']",cumbersome design,cumbersome design,cumbersome design
567,great it was new packaged nice works good no problems and it came in less time then i expected,1,"['great', 'new', 'packaged', 'nice', 'works', 'good', 'problems', 'came', 'less', 'time', 'expected']",great new packaged nice works good problems came less time expected,great new packaged nice works good problems came less time expected,great new packaged nice works good problems came less time expected
568,great product,1,"['great', 'product']",great product,great product,great product
569,it's a piece of crap,0,"['piece', 'crap']",piece crap,piece crap,piece crap
570,my experience was terrible this was my fourth bluetooth headset and while it was much more comfortable than my last jabra (which i hated,0,"['experience', 'terrible', 'fourth', 'bluetooth', 'headset', 'much', 'comfortable', 'last', 'jabra', 'hated']",experience terrible fourth bluetooth headset much comfortable last jabra hated,experience terrible fourth bluetooth headset much comfortable last jabra hated,experience terrible fourth bluetooth headset much comfortable last jabra hated
571,this fixes all the problems,1,"['fixes', 'problems']",fixes problems,fixes problems,fixes problems
572,worst ever,0,"['worst', 'ever']",worst ever,worst ever,worst ever
573,i am very happy,1,['happy'],happy,happy,happy
574,i've had no trouble accessing the internet downloading ringtones or performing any of the functions,1,"['trouble', 'accessing', 'internet', 'downloading', 'ringtones', 'performing', 'functions']",trouble accessing internet downloading ringtones performing functions,trouble accessing internet downloading ringtones performing functions,trouble accessing internet downloading ringtones performing functions
575,i can barely ever hear on it and am constantly saying what,0,"['barely', 'ever', 'hear', 'constantly', 'saying']",barely ever hear constantly saying,barely ever hear constantly saying,barely ever hear constantly saying
576,the battery life is highly unacceptable,0,"['battery', 'life', 'highly', 'unacceptable']",battery life highly unacceptable,battery life highly unacceptable,battery life highly unacceptable
577,that company is a joke,0,"['company', 'joke']",company joke,company joke,company joke
578,it does everything the description said it would,1,"['everything', 'description', 'said', 'would']",everything description said would,everything description said would,everything description said would
579,due to this happening on every call i was forced to stop using this headset,0,"['due', 'happening', 'every', 'call', 'forced', 'stop', 'using', 'headset']",due happening every call forced stop using headset,due happening every call forced stop using headset,due happening every call forced stop using headset
580,it works great with a car charger especially if you cannot plug in two adapters at the same time,1,"['works', 'great', 'car', 'charger', 'especially', 'cannot', 'plug', 'two', 'adapters', 'time']",works great car charger especially cannot plug two adapters time,works great car charger especially plug two adapters time,works great car charger especially plug two adapters time
581,verizon tech support walked my through a few procedures none of which worked and i ended up having to do a hard re-set wiping out all my data,0,"['verizon', 'tech', 'support', 'walked', 'procedures', 'none', 'worked', 'ended', 'hard', 'set', 'wiping', 'data']",verizon tech support walked procedures none worked ended hard set wiping data,verizon tech support walked procedures none worked ended hard set wiping data,verizon tech support walked procedures none worked ended hard set wiping data
582,voice quality signal strength dropped calls,0,"['voice', 'quality', 'signal', 'strength', 'dropped', 'calls']",voice quality signal strength dropped calls,voice quality signal strength dropped calls,voice quality signal strength dropped calls
583,it plays louder than any other speaker of this size the price is so low that most would think the quality is lacking however it's not,1,"['plays', 'louder', 'speaker', 'size', 'price', 'low', 'would', 'think', 'quality', 'lacking', 'however']",plays louder speaker size price low would think quality lacking however,plays louder speaker size price low would think quality lacking however,plays louder speaker size price low would think quality lacking however
584,better than expected,1,"['better', 'expected']",better expected,better expected,better expected
585,it feels poorly constructed the menus are difficult to navigate and the buttons are so recessed that it is difficult to push them,0,"['feels', 'poorly', 'constructed', 'menus', 'difficult', 'navigate', 'buttons', 'recessed', 'difficult', 'push']",feels poorly constructed menus difficult navigate buttons recessed difficult push,feels poorly constructed menus difficult navigate buttons recessed difficult push,feels poorly constructed menus difficult navigate buttons recessed difficult push
586,battery is holding up well,1,"['battery', 'holding', 'well']",battery holding well,battery holding well,battery holding well
587,also difficult to put oni'd recommend avoiding this product,0,"['also', 'difficult', 'put', 'oni', 'recommend', 'avoiding', 'product']",also difficult put oni recommend avoiding product,also difficult put oni recommend avoiding product,also difficult put oni recommend avoiding product
588,i only used it two days and it wasn't always easy to hear with,0,"['used', 'two', 'days', 'always', 'easy', 'hear']",used two days always easy hear,used two days always easy hear,used two days always easy hear
589,i got the car charger and not even after a week the charger was brokeni went to plug it in and it started smoking,0,"['got', 'car', 'charger', 'even', 'week', 'charger', 'brokeni', 'went', 'plug', 'started', 'smoking']",got car charger even week charger brokeni went plug started smoking,got car charger even week charger brokeni went plug started smoking,got car charger even week charger brokeni went plug started smoking
590,sprint - terrible customer service,0,"['sprint', 'terrible', 'customer', 'service']",sprint terrible customer service,sprint terrible customer service,sprint terrible customer service
591,linked to my phone without effort,1,"['linked', 'phone', 'without', 'effort']",linked phone without effort,linked phone without effort,linked phone without effort
592,they are so cool,1,['cool'],cool,cool,cool
593,easy to use,1,"['easy', 'use']",easy use,easy use,easy use
594,better than new,1,"['better', 'new']",better new,better new,better new
595,what possesed me to get this junk i have no idea,0,"['possesed', 'get', 'junk', 'idea']",possesed get junk idea,possesed get junk idea,possesed get junk idea
596,piece of trash,0,"['piece', 'trash']",piece trash,piece trash,piece trash
597,a pretty good product,1,"['pretty', 'good', 'product']",pretty good product,pretty good product,pretty good product
598,this is a great phone,1,"['great', 'phone']",great phone,great phone,great phone
599,for the price on amazon it is an excellent product which i would highly recommend,1,"['price', 'amazon', 'excellent', 'product', 'would', 'highly', 'recommend']",price amazon excellent product would highly recommend,price amazon excellent product would highly recommend,price amazon excellent product would highly recommend
600,their research and development division obviously knows what they're doing,1,"['research', 'development', 'division', 'obviously', 'knows']",research development division obviously knows,research development division obviously knows,research development division obviously knows
601,the real killer is the volume and of course it breaking,0,"['real', 'killer', 'volume', 'course', 'breaking']",real killer volume course breaking,real killer volume course breaking,real killer volume course breaking
602,those phones are working just fine now,1,"['phones', 'working', 'fine']",phones working fine,phones working fine,phones working fine
603,i am more than happy with this product,1,"['happy', 'product']",happy product,happy product,happy product
604,poor construction,0,"['poor', 'construction']",poor construction,poor construction,poor construction
605,this is infuriating,0,['infuriating'],infuriating,infuriating,infuriating
606,overall i would recommend this phone over the new walkman,1,"['overall', 'would', 'recommend', 'phone', 'new', 'walkman']",overall would recommend phone new walkman,overall would recommend phone new walkman,overall would recommend phone new walkman
607,sprint charges for this service,0,"['sprint', 'charges', 'service']",sprint charges service,sprint charges service,sprint charges service
608,it is cheap and it feel and look just as cheap,0,"['cheap', 'feel', 'look', 'cheap']",cheap feel look cheap,cheap feel look cheap,cheap feel look cheap
609,it fits my ear well and is comfortable on,1,"['fits', 'ear', 'well', 'comfortable']",fits ear well comfortable,fits ear well comfortable,fits ear well comfortable
610,it doesn't work in europe or asia,0,"['work', 'europe', 'asia']",work europe asia,work europe asia,work europe asia
611,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming,1,"['clipping', 'belt', 'deffinitely', 'make', 'feel', 'like', '50', 'cent', 'coming']",clipping belt deffinitely make feel like cent coming,clipping belt deffinitely make feel like cent coming,clipping belt deffinitely make feel like cent coming
612,i like design and look of jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear,1,"['like', 'design', 'look', 'jabra', 'behing', 'ear', 'headsets', '5020', 'pretty', 'comfortible', 'wear', '24', 'hours', 'day', 'without', 'pain', 'ear']",like design look jabra behing ear headsets 5020 pretty comfortible wear hours day without pain ear,like design look jabra behing ear headsets 5020 pretty comfortible wear hours day without pain ear,like design look jabra behing ear headsets 5020 pretty comfortible wear hours day without pain ear
613,i was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price,1,"['amazed', 'quick', 'arrival', 'two', 'original', 'lg', 'cell', 'phone', 'batteries', 'fraction', 'price']",amazed quick arrival two original cell phone batteries fraction price,amazed quick arrival two original cell phone batteries fraction price,amazed quick arrival two original cell phone batteries fraction price
614,the worst phone from samsungcrap this crappy samsung e715 is the worst i have ever seeen,0,"['worst', 'phone', 'samsungcrap', 'crappy', 'samsung', 'e715', 'worst', 'ever', 'seeen']",worst phone samsungcrap crappy samsung e715 worst ever seeen,worst phone samsungcrap crappy samsung e715 worst ever seeen,worst phone samsungcrap crappy samsung e715 worst ever seeen
615,the charger worked for about a week and then completely stopped charging my phone,0,"['charger', 'worked', 'week', 'completely', 'stopped', 'charging', 'phone']",charger worked week completely stopped charging phone,charger worked week completely stopped charging phone,charger worked week completely stopped charging phone
616,poor product,0,"['poor', 'product']",poor product,poor product,poor product
617,however i needed some better instructions,0,"['however', 'needed', 'better', 'instructions']",however needed better instructions,however needed better instructions,however needed better instructions
618,you need two hands to operate the screenthis software interface is decade old and cannot compete with new software designs,0,"['need', 'two', 'hands', 'operate', 'screenthis', 'software', 'interface', 'decade', 'old', 'cannot', 'compete', 'new', 'software', 'designs']",need two hands operate screenthis software interface decade old cannot compete new software designs,need two hands operate screenthis software interface decade old compete new software designs,need two hands operate screenthis software interface decade old compete new software designs
619,worked very well paired with a treo 700w and as a skype headset on my pc (using a usb bluetooth transceiver),1,"['worked', 'well', 'paired', 'treo', '700w', 'skype', 'headset', 'pc', 'using', 'usb', 'bluetooth', 'transceiver']",worked well paired treo 700w skype headset using usb bluetooth transceiver,worked well paired treo 700w skype headset using usb bluetooth transceiver,worked well paired treo 700w skype headset using usb bluetooth transceiver
620,steer clear of this product and go with the genuine palm replacementr pens which come in a three-pack,0,"['steer', 'clear', 'product', 'go', 'genuine', 'palm', 'replacementr', 'pens', 'come', 'three', 'pack']",steer clear product genuine palm replacementr pens come three pack,steer clear product genuine palm replacementr pens come three pack,steer clear product genuine palm replacementr pens come three pack
621,do not buy do not buyit sucks,0,"['buy', 'buyit', 'sucks']",buy buyit sucks,buy buyit sucks,buy buyit sucks
622,this is a great product sure beats using your fingers,1,"['great', 'product', 'sure', 'beats', 'using', 'fingers']",great product sure beats using fingers,great product sure beats using fingers,great product sure beats using fingers
623,plus i seriously do not believe it is worth its steep price point,0,"['plus', 'seriously', 'believe', 'worth', 'steep', 'price', 'point']",plus seriously believe worth steep price point,plus seriously believe worth steep price point,plus seriously believe worth steep price point
624,all the other cases i've tried normally fall apart after a few months but this one seems to be in for the long haul,1,"['cases', 'tried', 'normally', 'fall', 'apart', 'months', 'one', 'seems', 'long', 'haul']",cases tried normally fall apart months one seems long haul,cases tried normally fall apart months one seems long haul,cases tried normally fall apart months one seems long haul
625,very dissapointing performance,0,"['dissapointing', 'performance']",dissapointing performance,dissapointing performance,dissapointing performance
626,don't make the same mistake that i did and please don't buy this phone,0,"['make', 'mistake', 'please', 'buy', 'phone']",make mistake please buy phone,make mistake please buy phone,make mistake please buy phone
627,this phone might well be the worst i've ever had in any brand,0,"['phone', 'might', 'well', 'worst', 'ever', 'brand']",phone might well worst ever brand,phone might well worst ever brand,phone might well worst ever brand
628,case was more or less an extra that i originally put on but later discarded because it scratched my ear,0,"['case', 'less', 'extra', 'originally', 'put', 'later', 'discarded', 'scratched', 'ear']",case less extra originally put later discarded scratched ear,case less extra originally put later discarded scratched ear,case less extra originally put later discarded scratched ear
629,i recommend igo to anyone with different brand cell phones/mp3 players in the family,1,"['recommend', 'igo', 'anyone', 'different', 'brand', 'cell', 'phones', 'mp3', 'players', 'family']",recommend igo anyone different brand cell phones mp3 players family,recommend igo anyone different brand cell phones mp3 players family,recommend igo anyone different brand cell phones mp3 players family
